Data;Arezzo&Co;B3;Klabin;Localiza;Lojas Americanas;Multiplan;Petrobras;Rede Atacadao;SulAmerica;Vale
27/08/21;92,39;13,94;26,72;58,30;5,95;21,48;28,49;18,75;29,58;100,69
26/08/21;91,32;13,66;26,37;55,96;5,95;21,07;27,49;18,45;29,28;98,23
25/08/21;92,63;13,99;26,67;57,53;5,81;21,80;27,73;18,89;30,00;99,50
24/08/21;91,74;13,90;25,67;57,05;5,87;21,93;27,58;18,87;30,26;99,71
23/08/21;90,25;13,65;25,17;56,43;5,25;21,26;27,02;18,80;29,32;96,20
20/08/21;90,40;14,20;24,61;58,73;5,59;21,70;26,60;19,21;29,65;97,55
19/08/21;89,20;14,18;23,90;58,14;5,61;21,51;26,64;18,88;28,50;97,51
18/08/21;87,80;13,54;24,22;55,21;5,41;21,32;26,79;18,10;28,20;103,41
17/08/21;87,58;13,82;25,19;54,60;5,41;21,59;27,03;18,11;28,40;107,00
16/08/21;89,70;13,98;25,33;56,10;5,63;22,09;28,64;18,56;29,00;108,80
13/08/21;91,44;14,64;25,21;57,45;5,97;22,48;29,35;18,84;29,68;108,30
12/08/21;92,78;13,89;24,64;58,07;6,57;22,56;29,10;18,95;29,02;109,20
11/08/21;91,98;15,05;24,93;57,39;6,45;23,01;28,67;18,97;28,23;109,27
10/08/21;92,10;15,51;25,08;57,43;6,42;23,09;28,28;18,83;28,50;110,06
09/08/21;92,90;15,77;25,11;58,60;6,60;23,56;28,19;18,95;29,07;109,01
06/08/21;93,60;15,90;24,44;58,25;6,72;23,20;28,39;19,15;29,15;109,70
05/08/21;92,00;15,71;24,70;58,50;6,72;23,23;28,35;18,86;28,98;109,08
04/08/21;91,79;15,94;25,00;59,16;6,84;23,51;26,28;19,06;29,03;112,52
03/08/21;92,03;16,01;24,49;61,11;7,03;23,80;26,85;19,12;29,80;112,64
02/08/21;92,08;15,62;24,40;61,17;7,27;24,02;26,41;18,87;30,69;108,93
30/07/21;90,52;15,25;24,61;62,15;7,09;23,35;26,91;18,99;30,09;108,76
29/07/21;92,55;15,81;25,19;67,09;7,40;24,16;27,81;19,24;30,79;115,57
28/07/21;93,34;15,84;25,33;66,14;7,47;22,93;27,71;19,54;31,11;117,30
27/07/21;93,86;16,10;25,42;66,81;7,46;22,96;27,15;19,80;30,95;114,18
26/07/21;96,27;16,41;25,93;68,02;7,62;23,63;27,47;19,88;31,71;116,60
23/07/21;97,73;16,35;25,65;68,32;7,82;23,71;26,74;19,71;31,66;114,12
22/07/21;98,12;16,50;25,77;68,30;7,84;24,27;26,90;20,00;31,72;114,70
21/07/21;96,81;16,35;25,59;66,81;7,90;24,26;26,96;20,07;32,03;114,40
20/07/21;97,23;16,42;26,00;67,50;8,33;24,35;26,59;20,19;32,27;113,10
19/07/21;98,16;16,41;25,68;67,25;7,90;23,90;26,24;20,28;31,94;112,16
16/07/21;99,57;16,59;26,00;67,70;8,66;24,17;26,68;20,65;32,22;113,40
15/07/21;100,81;17,00;26,29;68,71;8,53;24,45;27,08;20,67;32,93;115,48
14/07/21;99,46;17,12;26,70;68,58;8,75;24,94;27,67;20,97;33,88;115,12
13/07/21;97,13;16,95;27,09;66,17;8,85;24,48;27,90;20,69;33,74;115,75
12/07/21;96,62;16,71;27,15;66,11;8,67;23,80;27,73;20,55;33,20;115,07
08/07/21;96,04;16,15;27,00;65,51;8,52;23,06;27,49;20,77;32,37;113,66
07/07/21;96,47;16,27;27,23;66,35;8,58;23,03;28,05;20,90;33,69;114,10
06/07/21;95,81;15,92;26,69;62,94;8,49;22,90;27,67;20,64;33,14;113,77
05/07/21;96,05;16,11;26,93;64,11;21,11;23,40;28,85;21,01;33,60;113,17
02/07/21;95,42;16,42;26,71;64,46;21,37;23,15;29,18;21,32;34,11;113,58
01/07/21;93,51;16,32;26,49;62,50;21,09;22,77;29,06;20,90;34,23;111,28
30/06/21;94,50;16,82;26,34;64,00;21,58;23,50;29,43;21,00;34,66;113,25
29/06/21;95,08;17,04;26,39;64,53;22,22;23,07;29,18;21,15;35,42;112,51
28/06/21;94,95;16,99;26,36;64,25;22,35;23,72;29,05;21,42;35,04;110,60
25/06/21;92,79;16,69;25,86;63,60;21,94;24,04;29,10;21,39;34,60;112,40
24/06/21;94,30;16,99;26,37;64,50;22,38;25,18;29,65;21,63;35,99;111,03
23/06/21;93,71;17,02;25,85;64,00;21,42;25,05;29,30;21,28;35,52;113,07
22/06/21;95,00;16,99;26,30;63,00;21,76;25,30;29,10;21,47;35,95;111,40
21/06/21;95,93;17,07;26,15;63,22;22,10;25,99;28,95;21,65;36,03;110,11
18/06/21;94,27;17,38;25,67;62,81;21,75;25,76;28,32;22,16;36,00;109,09
17/06/21;92,63;17,17;25,25;62,58;22,14;25,68;28,13;21,88;36,19;105,90
